digits,n_prefix,p_min,p_min_digits,attempts,sieve_elim_pct,time_ms
100,90745670541674107038,3923,4,47,99.4,1.960
100,71472301838121610945,983,3,51,98.1,4.360
100,62525454525294729072,619,3,49,97.2,1.886
100,37274381476141016985,1093,4,55,99.1,6.405
100,24947230387270543656,409,3,54,99.0,1.953
100,41418107096509270549,1373,4,51,99.0,1.541
100,94101630363012189078,997,3,57,99.1,4.850
100,95430929832707634547,43,2,14,0.0,0.461
100,24907050989894525298,67,2,19,0.0,0.597
100,57876167896101292941,1249,4,78,98.5,5.618
100,10583832781810509610,457,3,53,99.2,3.945
100,35212569892545218943,137,3,47,98.2,1.947
100,20969672987656767096,17,2,7,0.0,0.181
100,63892145074501496725,271,3,48,98.4,2.064
100,50709654989256765258,3,1,2,0.0,0.184
100,17256529838505076383,229,3,52,99.2,1.749
100,80341210985470365618,659,3,53,99.1,1.675
100,11218921014563698789,107,3,22,97.8,1.412
100,12701472707030185894,223,3,23,98.9,1.337
100,15672369234745270583,971,3,55,99.0,1.827
100,70749094347094725456,1301,4,46,99.4,4.634
100,67232763438367058927,673,3,35,99.3,3.705
100,46363254583696989012,1021,4,61,98.6,2.903
100,25698527274305250309,809,3,52,99.2,1.624
100,14985214305870789258,2221,4,46,99.4,1.613
100,27678767074307038369,131,3,23,99.0,2.076
100,34909412507074521092,359,3,87,98.2,5.813
100,93618781616721674989,769,3,40,99.0,1.253
100,92569090765696707476,3469,4,59,99.1,1.406
100,21250141292945674521,83,2,22,97.9,1.119
100,64767850721672723276,239,3,47,98.6,1.551
100,69492587490749816747,113,3,22,99.0,1.504
100,52561672923216149096,1087,4,44,99.1,1.940
100,99470303070781474185,31,2,11,0.0,0.293
100,50365474381078905096,1117,4,52,98.2,1.875
100,53494165276303478567,23,2,9,0.0,0.269
100,44749492783212165610,11,2,5,0.0,0.410
100,27078789456529478989,241,3,38,98.5,1.765
100,96941274545436341454,223,3,23,99.1,1.306
100,49470701074547650383,293,3,42,98.7,2.851
100,32341698145410963014,101,3,22,97.9,1.364
100,37058925632327276389,67,2,19,0.0,0.193
100,62947698941696163030,2371,4,59,99.1,5.436
100,57010145414963676787,251,3,22,98.3,1.322
100,18543838729894727650,661,3,48,98.7,1.489
100,89618303012305412903,337,3,90,97.9,2.730
100,22789816789252729698,353,3,38,99.1,1.536
100,51096583230583818527,547,3,50,98.8,4.330
100,34109672101678783412,131,3,54,98.3,1.764
100,35858749832105290921,5,1,3,0.0,0.253
100,32161094309856149256,1237,4,63,98.9,1.940
100,73036103418389838561,1231,4,38,99.0,1.835
100,40345272507414123270,631,3,57,99.1,2.072
100,87496769690543634783,1553,4,49,98.8,1.760
100,14125638547018189054,569,3,51,99.3,2.400
100,41230925294189892961,967,3,35,99.2,1.479
100,98941250509616563658,97,2,51,97.7,2.981
100,83694749656741072165,41,2,13,0.0,0.275
100,36309832381250765816,409,3,23,99.0,1.124
100,93634787254789872709,199,3,27,98.2,8.172
100,62305036969410541696,67,2,19,0.0,0.349
100,15250323296723274365,73,2,21,0.0,0.329
100,74549218769676941452,2819,4,66,98.9,3.452
100,25678963232563252561,1249,4,55,98.4,4.931
100,94781054769434945616,523,3,90,97.9,1.937
100,35658581432923250523,193,3,33,99.1,1.395
100,20927876525834141878,37,2,12,0.0,0.205
100,35656381456743690141,197,3,23,99.0,1.200
100,62381834569836347270,571,3,40,99.2,3.878
100,11672583072181478303,263,3,23,99.1,1.482
